Date,team1,team2,team1_odds,team2_odds
21 Jul 2021  - Play Offs,Milwaukee Bucks,Phoenix Suns,1.55,2.59
18 Jul 2021  - Play Offs,Phoenix Suns,Milwaukee Bucks,1.59,2.46
15 Jul 2021  - Play Offs,Milwaukee Bucks,Phoenix Suns,1.50,2.70
12 Jul 2021  - Play Offs,Milwaukee Bucks,Phoenix Suns,1.51,2.68
09 Jul 2021  - Play Offs,Phoenix Suns,Milwaukee Bucks,1.53,2.61
07 Jul 2021  - Play Offs,Phoenix Suns,Milwaukee Bucks,1.51,2.69
04 Jul 2021  - Play Offs,Atlanta Hawks,Milwaukee Bucks,1.63,2.38
02 Jul 2021  - Play Offs,Milwaukee Bucks,Atlanta Hawks,1.54,2.60
01 Jul 2021  - Play Offs,Los Angeles Clippers,Phoenix Suns,2.00,1.86
30 Jun 2021  - Play Offs,Atlanta Hawks,Milwaukee Bucks,4.19,1.25
29 Jun 2021  - Play Offs,Phoenix Suns,Los Angeles Clippers,1.36,3.32
28 Jun 2021  - Play Offs,Atlanta Hawks,Milwaukee Bucks,2.64,1.53
27 Jun 2021  - Play Offs,Los Angeles Clippers,Phoenix Suns,1.91,1.93
26 Jun 2021  - Play Offs,Milwaukee Bucks,Atlanta Hawks,1.28,3.88
25 Jun 2021  - Play Offs,Los Angeles Clippers,Phoenix Suns,1.98,1.87
24 Jun 2021  - Play Offs,Milwaukee Bucks,Atlanta Hawks,1.28,3.87
23 Jun 2021  - Play Offs,Phoenix Suns,Los Angeles Clippers,1.51,2.71
21 Jun 2021  - Play Offs,Philadelphia 76ers,Atlanta Hawks,1.37,3.27
21 Jun 2021  - Play Offs,Phoenix Suns,Los Angeles Clippers,1.59,2.46
20 Jun 2021  - Play Offs,Brooklyn Nets,Milwaukee Bucks,1.77,2.12
19 Jun 2021  - Play Offs,Los Angeles Clippers,Utah Jazz,2.22,1.74
19 Jun 2021  - Play Offs,Atlanta Hawks,Philadelphia 76ers,2.25,1.71
18 Jun 2021  - Play Offs,Milwaukee Bucks,Brooklyn Nets,1.52,2.66
17 Jun 2021  - Play Offs,Utah Jazz,Los Angeles Clippers,1.26,4.07
17 Jun 2021  - Play Offs,Philadelphia 76ers,Atlanta Hawks,1.33,3.46
16 Jun 2021  - Play Offs,Brooklyn Nets,Milwaukee Bucks,2.02,1.85
15 Jun 2021  - Play Offs,Los Angeles Clippers,Utah Jazz,1.47,2.79
15 Jun 2021  - Play Offs,Atlanta Hawks,Philadelphia 76ers,2.20,1.71
14 Jun 2021  - Play Offs,Denver Nuggets,Phoenix Suns,2.28,1.67
14 Jun 2021  - Play Offs,Milwaukee Bucks,Brooklyn Nets,2.13,1.76
13 Jun 2021  - Play Offs,Los Angeles Clippers,Utah Jazz,1.51,2.67
12 Jun 2021  - Play Offs,Denver Nuggets,Phoenix Suns,1.78,2.09
12 Jun 2021  - Play Offs,Atlanta Hawks,Philadelphia 76ers,2.16,1.75
11 Jun 2021  - Play Offs,Utah Jazz,Los Angeles Clippers,1.69,2.23
11 Jun 2021  - Play Offs,Milwaukee Bucks,Brooklyn Nets,1.64,2.34
10 Jun 2021  - Play Offs,Phoenix Suns,Denver Nuggets,1.43,2.96
09 Jun 2021  - Play Offs,Utah Jazz,Los Angeles Clippers,1.68,2.26
09 Jun 2021  - Play Offs,Philadelphia 76ers,Atlanta Hawks,1.40,3.14
08 Jun 2021  - Play Offs,Phoenix Suns,Denver Nuggets,1.44,2.88
08 Jun 2021  - Play Offs,Brooklyn Nets,Milwaukee Bucks,2.01,1.88
07 Jun 2021  - Play Offs,Los Angeles Clippers,Dallas Mavericks,1.40,3.08
07 Jun 2021  - Play Offs,Philadelphia 76ers,Atlanta Hawks,1.52,2.65
06 Jun 2021  - Play Offs,Brooklyn Nets,Milwaukee Bucks,1.59,2.46
05 Jun 2021  - Play Offs,Dallas Mavericks,Los Angeles Clippers,2.24,1.72
04 Jun 2021  - Play Offs,Los Angeles Lakers,Phoenix Suns,1.66,2.30
04 Jun 2021  - Play Offs,Portland Trail Blazers,Denver Nuggets,1.50,2.69
03 Jun 2021  - Play Offs,Los Angeles Clippers,Dallas Mavericks,1.30,3.73
03 Jun 2021  - Play Offs,Utah Jazz,Memphis Grizzlies,1.22,4.62
03 Jun 2021  - Play Offs,New York Knicks,Atlanta Hawks,2.33,1.91
03 Jun 2021  - Play Offs,Philadelphia 76ers,Washington Wizards,1.42,2.98
02 Jun 2021  - Play Offs,Phoenix Suns,Los Angeles Lakers,1.55,2.57
02 Jun 2021  - Play Offs,Denver Nuggets,Portland Trail Blazers,1.81,2.07
02 Jun 2021  - Play Offs,Brooklyn Nets,Boston Celtics,1.11,7.42
01 Jun 2021  - Play Offs,Memphis Grizzlies,Utah Jazz,2.87,1.45
01 Jun 2021  - Play Offs,Washington Wizards,Philadelphia 76ers,4.05,1.26
31 May 2021  - Play Offs,Dallas Mavericks,Los Angeles Clippers,2.41,1.60
31 May 2021  - Play Offs,Boston Celtics,Brooklyn Nets,4.31,1.24
31 May 2021  - Play Offs,Los Angeles Lakers,Phoenix Suns,1.36,3.34
31 May 2021  - Play Offs,Atlanta Hawks,New York Knicks,1.50,2.69
30 May 2021  - Play Offs,Memphis Grizzlies,Utah Jazz,2.80,1.47
30 May 2021  - Play Offs,Washington Wizards,Philadelphia 76ers,2.86,1.45
30 May 2021  - Play Offs,Portland Trail Blazers,Denver Nuggets,1.50,2.71
30 May 2021  - Play Offs,Miami Heat,Milwaukee Bucks,2.61,1.53
29 May 2021  - Play Offs,Dallas Mavericks,Los Angeles Clippers,2.25,1.68
29 May 2021  - Play Offs,Boston Celtics,Brooklyn Nets,3.61,1.32
29 May 2021  - Play Offs,Atlanta Hawks,New York Knicks,1.53,2.61
28 May 2021  - Play Offs,Portland Trail Blazers,Denver Nuggets,1.60,2.44
28 May 2021  - Play Offs,Los Angeles Lakers,Phoenix Suns,1.36,3.28
28 May 2021  - Play Offs,Miami Heat,Milwaukee Bucks,1.99,1.86
27 May 2021  - Play Offs,Utah Jazz,Memphis Grizzlies,1.19,4.97
27 May 2021  - Play Offs,New York Knicks,Atlanta Hawks,1.75,2.15
27 May 2021  - Play Offs,Philadelphia 76ers,Washington Wizards,1.25,4.10
26 May 2021  - Play Offs,Los Angeles Clippers,Dallas Mavericks,1.33,3.52
26 May 2021  - Play Offs,Phoenix Suns,Los Angeles Lakers,2.10,1.77
26 May 2021  - Play Offs,Brooklyn Nets,Boston Celtics,1.22,4.63
25 May 2021  - Play Offs,Denver Nuggets,Portland Trail Blazers,1.76,2.12
25 May 2021  - Play Offs,Milwaukee Bucks,Miami Heat,1.51,2.68
24 May 2021  - Play Offs,Utah Jazz,Memphis Grizzlies,1.28,3.85
24 May 2021  - Play Offs,New York Knicks,Atlanta Hawks,1.85,2.00
24 May 2021  - Play Offs,Phoenix Suns,Los Angeles Lakers,1.76,2.14
24 May 2021  - Play Offs,Philadelphia 76ers,Washington Wizards,1.29,3.76
23 May 2021  - Play Offs,Denver Nuggets,Portland Trail Blazers,1.88,1.96
23 May 2021  - Play Offs,Brooklyn Nets,Boston Celtics,1.26,4.08
23 May 2021  - Play Offs,Los Angeles Clippers,Dallas Mavericks,1.41,3.05
23 May 2021  - Play Offs,Milwaukee Bucks,Miami Heat,1.45,2.85
22 May 2021  - Promotion - Play Offs,Golden State Warriors,Memphis Grizzlies,1.50,2.73
21 May 2021  - Promotion - Play Offs,Washington Wizards,Indiana Pacers,1.63,2.37
20 May 2021  - Promotion - Play Offs,Los Angeles Lakers,Golden State Warriors,1.41,3.04
20 May 2021  - Promotion - Play Offs,Memphis Grizzlies,San Antonio Spurs,1.54,2.58
19 May 2021  - Promotion - Play Offs,Boston Celtics,Washington Wizards,1.77,2.12
19 May 2021  - Promotion - Play Offs,Indiana Pacers,Charlotte Hornets,1.79,2.08
17 May 2021 ,Chicago Bulls,Milwaukee Bucks,3.29,1.36
17 May 2021 ,Minnesota Timberwolves,Dallas Mavericks,3.26,1.37
17 May 2021 ,New Orleans Pelicans,Los Angeles Lakers,4.49,1.23
17 May 2021 ,Oklahoma City Thunder,Los Angeles Clippers,3.76,1.29
17 May 2021 ,Portland Trail Blazers,Denver Nuggets,1.27,4.04
17 May 2021 ,Sacramento Kings,Utah Jazz,6.46,1.13
17 May 2021 ,Detroit Pistons,Miami Heat,2.33,1.65
17 May 2021 ,Atlanta Hawks,Houston Rockets,1.33,3.49
17 May 2021 ,Brooklyn Nets,Cleveland Cavaliers,1.09,8.07
17 May 2021 ,Philadelphia 76ers,Orlando Magic,1.40,3.06
17 May 2021 ,Golden State Warriors,Memphis Grizzlies,1.62,2.39
17 May 2021 ,San Antonio Spurs,Phoenix Suns,2.24,1.70
17 May 2021 ,New York Knicks,Boston Celtics,1.12,6.84
17 May 2021 ,Toronto Raptors,Indiana Pacers,2.97,1.42
17 May 2021 ,Washington Wizards,Charlotte Hornets,1.36,3.27
16 May 2021 ,Milwaukee Bucks,Miami Heat,1.61,2.43
16 May 2021 ,Minnesota Timberwolves,Boston Celtics,1.51,2.68
16 May 2021 ,San Antonio Spurs,Phoenix Suns,5.70,1.16
16 May 2021 ,Brooklyn Nets,Chicago Bulls,1.14,6.11
16 May 2021 ,Indiana Pacers,Los Angeles Lakers,4.07,1.26
16 May 2021 ,New York Knicks,Charlotte Hornets,1.44,2.90
15 May 2021 ,Golden State Warriors,New Orleans Pelicans,1.88,1.98
15 May 2021 ,Dallas Mavericks,Toronto Raptors,1.07,10.03
15 May 2021 ,Houston Rockets,Los Angeles Clippers,3.59,1.31
15 May 2021 ,Memphis Grizzlies,Sacramento Kings,1.62,2.38
15 May 2021 ,Detroit Pistons,Denver Nuggets,4.08,1.26
15 May 2021 ,Oklahoma City Thunder,Utah Jazz,10.35,1.06
15 May 2021 ,Philadelphia 76ers,Orlando Magic,1.07,9.61
15 May 2021 ,Washington Wizards,Cleveland Cavaliers,1.24,4.38
14 May 2021 ,Phoenix Suns,Portland Trail Blazers,1.76,2.14
14 May 2021 ,Chicago Bulls,Toronto Raptors,1.19,5.01
14 May 2021 ,Memphis Grizzlies,Sacramento Kings,1.27,4.01
14 May 2021 ,Minnesota Timberwolves,Denver Nuggets,2.12,1.76
14 May 2021 ,Atlanta Hawks,Orlando Magic,1.11,7.47
14 May 2021 ,Miami Heat,Philadelphia 76ers,1.87,1.99
14 May 2021 ,New York Knicks,San Antonio Spurs,1.52,2.63
14 May 2021 ,Charlotte Hornets,Los Angeles Clippers,4.05,1.26
14 May 2021 ,Indiana Pacers,Milwaukee Bucks,4.54,1.22
13 May 2021 ,Los Angeles Lakers,Houston Rockets,1.21,4.75
13 May 2021 ,Utah Jazz,Portland Trail Blazers,1.91,1.95
13 May 2021 ,Dallas Mavericks,New Orleans Pelicans,1.21,4.66
13 May 2021 ,Brooklyn Nets,San Antonio Spurs,1.50,2.69
13 May 2021 ,Cleveland Cavaliers,Boston Celtics,2.98,1.42
13 May 2021 ,Atlanta Hawks,Washington Wizards,1.36,3.28
12 May 2021 ,Golden State Warriors,Phoenix Suns,2.60,1.53
12 May 2021 ,Los Angeles Lakers,New York Knicks,1.72,2.20
12 May 2021 ,Sacramento Kings,Oklahoma City Thunder,1.23,4.47
12 May 2021 ,Milwaukee Bucks,Orlando Magic,1.06,10.60
12 May 2021 ,Chicago Bulls,Brooklyn Nets,2.63,1.53
12 May 2021 ,Indiana Pacers,Philadelphia 76ers,2.75,1.48
12 May 2021 ,Memphis Grizzlies,Dallas Mavericks,2.34,1.64
12 May 2021 ,Boston Celtics,Miami Heat,2.03,1.84
12 May 2021 ,Toronto Raptors,Los Angeles Clippers,8.00,1.10
12 May 2021 ,Charlotte Hornets,Denver Nuggets,2.99,1.42
12 May 2021 ,Detroit Pistons,Minnesota Timberwolves,3.46,1.34
11 May 2021 ,Golden State Warriors,Utah Jazz,2.08,1.80
11 May 2021 ,Portland Trail Blazers,Houston Rockets,1.07,10.43
11 May 2021 ,San Antonio Spurs,Milwaukee Bucks,3.42,1.34
11 May 2021 ,Memphis Grizzlies,New Orleans Pelicans,1.22,4.66
11 May 2021 ,Atlanta Hawks,Washington Wizards,1.29,3.85
11 May 2021 ,Cleveland Cavaliers,Indiana Pacers,4.52,1.23
10 May 2021 ,Los Angeles Lakers,Phoenix Suns,3.23,1.38
10 May 2021 ,Sacramento Kings,Oklahoma City Thunder,1.23,4.48
10 May 2021 ,Detroit Pistons,Chicago Bulls,4.50,1.23
10 May 2021 ,Charlotte Hornets,New Orleans Pelicans,1.66,2.31
10 May 2021 ,Cleveland Cavaliers,Dallas Mavericks,5.17,1.19
10 May 2021 ,Orlando Magic,Minnesota Timberwolves,3.56,1.32
10 May 2021 ,Los Angeles Clippers,New York Knicks,1.31,3.68
10 May 2021 ,Boston Celtics,Miami Heat,1.88,1.97
09 May 2021 ,Denver Nuggets,Brooklyn Nets,2.34,1.64
09 May 2021 ,Golden State Warriors,Oklahoma City Thunder,1.09,8.30
09 May 2021 ,Portland Trail Blazers,San Antonio Spurs,1.42,2.99
09 May 2021 ,Utah Jazz,Houston Rockets,1.05,11.29
09 May 2021 ,Toronto Raptors,Memphis Grizzlies,3.09,1.40
