Date,team1,team2,team1_odds,team2_odds
17 Jun 2022  - Play Offs,Boston Celtics,Golden State Warriors,1.59,2.44
14 Jun 2022  - Play Offs,Golden State Warriors,Boston Celtics,1.60,2.43
11 Jun 2022  - Play Offs,Boston Celtics,Golden State Warriors,1.61,2.40
09 Jun 2022  - Play Offs,Boston Celtics,Golden State Warriors,1.67,2.28
06 Jun 2022  - Play Offs,Golden State Warriors,Boston Celtics,1.50,2.70
03 Jun 2022  - Play Offs,Golden State Warriors,Boston Celtics,1.60,2.43
30 May 2022  - Play Offs,Miami Heat,Boston Celtics,2.29,1.66
28 May 2022  - Play Offs,Boston Celtics,Miami Heat,1.25,4.14
27 May 2022  - Play Offs,Golden State Warriors,Dallas Mavericks,1.36,3.29
26 May 2022  - Play Offs,Miami Heat,Boston Celtics,2.39,1.61
25 May 2022  - Play Offs,Dallas Mavericks,Golden State Warriors,1.81,2.06
24 May 2022  - Play Offs,Boston Celtics,Miami Heat,1.38,3.20
23 May 2022  - Play Offs,Dallas Mavericks,Golden State Warriors,1.66,2.30
22 May 2022  - Play Offs,Boston Celtics,Miami Heat,1.44,2.92
21 May 2022  - Play Offs,Golden State Warriors,Dallas Mavericks,1.40,3.09
20 May 2022  - Play Offs,Miami Heat,Boston Celtics,1.86,1.99
19 May 2022  - Play Offs,Golden State Warriors,Dallas Mavericks,1.45,2.88
18 May 2022  - Play Offs,Miami Heat,Boston Celtics,1.51,2.66
16 May 2022  - Play Offs,Phoenix Suns,Dallas Mavericks,1.37,3.24
16 May 2022  - Play Offs,Boston Celtics,Milwaukee Bucks,1.48,2.75
14 May 2022  - Play Offs,Golden State Warriors,Memphis Grizzlies,1.29,3.83
14 May 2022  - Play Offs,Milwaukee Bucks,Boston Celtics,1.84,2.01
13 May 2022  - Play Offs,Dallas Mavericks,Phoenix Suns,2.16,1.73
13 May 2022  - Play Offs,Philadelphia 76ers,Miami Heat,1.74,2.17
12 May 2022  - Play Offs,Memphis Grizzlies,Golden State Warriors,2.53,1.56
12 May 2022  - Play Offs,Boston Celtics,Milwaukee Bucks,1.52,2.64
11 May 2022  - Play Offs,Phoenix Suns,Dallas Mavericks,1.34,3.42
11 May 2022  - Play Offs,Miami Heat,Philadelphia 76ers,1.66,2.29
10 May 2022  - Play Offs,Golden State Warriors,Memphis Grizzlies,1.19,5.04
10 May 2022  - Play Offs,Milwaukee Bucks,Boston Celtics,1.81,2.06
09 May 2022  - Play Offs,Philadelphia 76ers,Miami Heat,1.75,2.14
09 May 2022  - Play Offs,Dallas Mavericks,Phoenix Suns,2.26,1.68
08 May 2022  - Play Offs,Golden State Warriors,Memphis Grizzlies,1.35,3.39
08 May 2022  - Play Offs,Milwaukee Bucks,Boston Celtics,1.74,2.18
07 May 2022  - Play Offs,Dallas Mavericks,Phoenix Suns,1.88,1.97
07 May 2022  - Play Offs,Philadelphia 76ers,Miami Heat,1.90,1.96
05 May 2022  - Play Offs,Phoenix Suns,Dallas Mavericks,1.40,3.12
05 May 2022  - Play Offs,Miami Heat,Philadelphia 76ers,1.28,3.92
04 May 2022  - Play Offs,Memphis Grizzlies,Golden State Warriors,2.06,1.81
04 May 2022  - Play Offs,Boston Celtics,Milwaukee Bucks,1.57,2.49
03 May 2022  - Play Offs,Phoenix Suns,Dallas Mavericks,1.41,3.05
03 May 2022  - Play Offs,Miami Heat,Philadelphia 76ers,1.29,3.75
02 May 2022  - Play Offs,Memphis Grizzlies,Golden State Warriors,2.18,1.72
02 May 2022  - Play Offs,Boston Celtics,Milwaukee Bucks,1.53,2.62
30 Apr 2022  - Play Offs,Minnesota Timberwolves,Memphis Grizzlies,2.05,1.82
29 Apr 2022  - Play Offs,Utah Jazz,Dallas Mavericks,1.98,1.87
29 Apr 2022  - Play Offs,New Orleans Pelicans,Phoenix Suns,2.33,1.65
29 Apr 2022  - Play Offs,Toronto Raptors,Philadelphia 76ers,1.94,1.90
28 Apr 2022  - Play Offs,Golden State Warriors,Denver Nuggets,1.24,4.29
28 Apr 2022  - Play Offs,Milwaukee Bucks,Chicago Bulls,1.11,7.21
27 Apr 2022  - Play Offs,Phoenix Suns,New Orleans Pelicans,1.39,3.17
