,BOS,DAL,DET,HOU,IND,MIA,OKC,TOR,ATL,CLE,DEN,GSW,LAC,LAL,MEM,MIL,MIN,NOP,NYK,ORL,PHI,PHX,POR,SAC,UTA,WAS,BKN,SAS,CHA,CHI
BOS,0.0,21.0,13.75,24.0,2.0,5.0,2.0,4.0,25.0,1.0,9.5,1.5,3.0,4.0,6.5,10.5,12.0,9.5,3.75,1.5,6.333333333333333,13.5,22.0,18.0,0.0,13.5,16.25,5.0,18.5,3.0
DAL,0.0,0.0,3.0,6.5,0.0,25.0,2.3333333333333335,0.5,0.0,0.0,7.25,1.5,2.0,4.333333333333333,41.0,0.0,1.6666666666666667,3.75,13.0,4.5,7.0,5.75,6.25,4.0,5.0,0.0,3.0,13.5,0.0,0.0
DET,0.0,3.0,0.0,0.0,0.0,20.0,9.0,0.0,0.0,0.0,2.0,8.5,0.0,0.0,0.0,0.0,14.5,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.5,0.0,4.0,3.5,3.25,0.0
HOU,0.0,2.25,3.0,0.0,0.0,0.0,4.75,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,0.0,0.0,3.5,4.5,5.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,15.0
IND,2.5,2.0,9.0,8.5,0.0,1.25,0.0,11.0,7.5,3.0,0.0,7.0,0.5,0.5,0.0,0.0,0.0,3.5,0.0,8.75,0.0,0.0,4.5,1.5,0.0,5.0,5.0,0.0,8.5,3.25
MIA,1.75,0.0,0.0,2.5,2.5,0.0,1.5,1.0,4.5,1.0,0.0,3.5,7.5,7.0,0.0,5.5,1.5,15.0,0.0,4.5,1.0,4.5,10.5,1.5,3.0,3.6666666666666665,0.0,5.0,5.5,0.0
OKC,16.5,5.666666666666667,0.0,17.25,20.0,0.0,0.0,19.0,3.5,6.0,0.5,3.0,11.0,1.5,2.0,0.0,1.75,0.0,5.0,4.0,9.5,0.0,4.666666666666667,0.0,12.333333333333334,9.0,10.0,12.0,0.0,9.0
TOR,0.0,2.5,3.0,6.5,0.0,5.333333333333333,0.0,0.0,10.0,6.5,0.0,0.0,0.0,13.0,1.5,0.0,0.0,2.5,4.5,5.75,3.3333333333333335,4.5,15.0,9.0,0.0,3.5,0.0,28.5,11.0,5.0
ATL,0.0,8.0,18.0,5.0,1.0,2.0,2.5,4.333333333333333,0.0,8.5,4.0,0.0,2.0,0.0,0.0,8.5,0.0,1.5,7.0,7.0,3.0,20.5,9.0,6.0,3.5,1.0,0.6666666666666666,19.0,4.75,0.3333333333333333
CLE,3.5,8.0,21.0,18.0,8.333333333333334,10.0,4.0,6.25,6.0,0.0,0.0,0.0,11.5,14.0,7.5,5.0,0.0,10.5,4.333333333333333,11.0,14.0,8.0,12.0,0.0,11.5,16.5,0.0,4.0,10.0,13.0
DEN,6.0,2.5,0.0,19.0,13.0,4.5,5.5,5.0,10.0,9.5,0.0,11.0,15.75,6.0,10.0,0.0,9.5,3.3333333333333335,0.0,1.5,0.0,16.0,5.75,3.5,7.0,13.0,0.0,15.5,9.0,11.5
GSW,8.0,3.0,0.0,13.666666666666666,0.0,6.5,11.666666666666666,14.0,2.0,5.5,0.0,0.0,13.666666666666666,3.5,5.333333333333333,0.0,9.333333333333334,3.0,5.0,0.0,0.0,0.0,8.0,2.6666666666666665,5.333333333333333,9.0,0.0,37.0,2.5,4.0
LAC,10.0,6.5,8.0,11.75,7.0,0.0,0.0,9.5,3.5,1.0,0.0,3.3333333333333335,0.0,12.333333333333334,6.0,0.0,3.6666666666666665,0.0,6.0,0.0,0.0,3.0,6.0,0.5,1.75,8.0,4.0,18.0,11.5,5.0
